protocol,topology,node_count,loss_rate,delivery_ratio,total_transmissions,redundant_messages,avg_hop,avg_delay,network_overhead,loss_impact,unique_receivers,dropped_packets,successful_transmissions
flooding,random,100.0,0.0,1.0,725.0,626.0,2.36,3.1557595023624327,7.3232323232323235,0.0,100.0,0.0,99.0
flooding,random,100.0,0.0,1.0,783.0,684.0,2.27,3.0020545726543766,7.909090909090909,0.0,100.0,0.0,99.0
flooding,random,100.0,0.0,1.0,603.0,504.0,2.75,3.644223006968273,6.090909090909091,0.0,100.0,0.0,99.0
flooding,random,100.0,0.0,1.0,835.0,736.0,2.45,3.3759632013242227,8.434343434343434,0.0,100.0,0.0,99.0
flooding,random,100.0,0.0,1.0,673.0,574.0,2.33,3.097934567509876,6.797979797979798,0.0,100.0,0.0,99.0
flooding,small_world,100.0,0.0,1.0,501.0,402.0,3.56,5.0297076100336,5.0606060606060606,0.0,100.0,0.0,99.0
flooding,small_world,100.0,0.0,1.0,501.0,402.0,3.07,4.1565013689923225,5.0606060606060606,0.0,100.0,0.0,99.0
flooding,small_world,100.0,0.0,1.0,501.0,402.0,3.76,5.245872841020968,5.0606060606060606,0.0,100.0,0.0,99.0
flooding,small_world,100.0,0.0,1.0,501.0,402.0,3.08,4.136082057074105,5.0606060606060606,0.0,100.0,0.0,99.0
flooding,small_world,100.0,0.0,1.0,501.0,402.0,3.05,4.266414245640524,5.0606060606060606,0.0,100.0,0.0,99.0
gossip,random,100.0,0.0,0.75,122.0,48.0,4.88,7.160719685590937,1.6486486486486487,0.0,75.0,0.0,74.0
gossip,random,100.0,0.0,0.72,120.0,49.0,4.902777777777778,6.874251852811126,1.6901408450704225,0.0,72.0,0.0,71.0
gossip,random,100.0,0.0,0.71,116.0,46.0,4.929577464788732,7.444740463289372,1.6571428571428573,0.0,71.0,0.0,70.0
gossip,random,100.0,0.0,0.73,128.0,56.0,4.739726027397261,6.623896458813591,1.7777777777777777,0.0,73.0,0.0,72.0
gossip,random,100.0,0.0,0.64,98.0,35.0,4.890625,7.423807849186588,1.5555555555555556,0.0,64.0,0.0,63.0
gossip,small_world,100.0,0.0,0.57,90.0,34.0,4.771929824561403,7.119943486191321,1.6071428571428572,0.0,57.0,0.0,56.0
gossip,small_world,100.0,0.0,0.47,72.0,26.0,4.829787234042553,7.329897599863931,1.565217391304348,0.0,47.0,0.0,46.0
gossip,small_world,100.0,0.0,0.48,70.0,23.0,5.041666666666667,8.184299867780911,1.4893617021276595,0.0,48.0,0.0,47.0
gossip,small_world,100.0,0.0,0.7,112.0,43.0,4.928571428571429,7.563923996631611,1.6231884057971016,0.0,70.0,0.0,69.0
gossip,small_world,100.0,0.0,0.32,42.0,11.0,5.03125,7.842096130974901,1.3548387096774193,0.0,32.0,0.0,31.0
