protocol,topology,node_count,loss_rate,delivery_ratio,total_transmissions,redundant_messages,avg_hop,avg_delay,network_overhead,loss_impact,unique_receivers,dropped_packets,successful_transmissions
flooding,random,39.0,0.1,0.46153846153846156,23.0,4.0,4.555555555555555,6.374094286889499,1.3529411764705883,0.08695652173913043,18.0,2.0,17.0
flooding,random,42.0,0.1,0.9285714285714286,60.0,18.0,3.358974358974359,4.9087870149267285,1.5789473684210527,0.06666666666666667,39.0,4.0,38.0
flooding,random,100.0,0.1,0.99,366.0,243.0,3.3636363636363638,4.967608640166849,3.7346938775510203,0.06830601092896176,99.0,25.0,98.0
flooding,random,99.0,0.1,1.0,422.0,286.0,3.505050505050505,4.866452881552902,4.3061224489795915,0.09004739336492891,99.0,38.0,98.0
flooding,random,500.0,0.1,1.0,12005.0,10336.0,2.428,3.178217108659703,24.05811623246493,0.09745939192003332,500.0,1170.0,499.0
flooding,random,500.0,0.1,1.0,11899.0,10240.0,2.256,2.950369584421236,23.84569138276553,0.09748718379695773,500.0,1160.0,499.0
gossip,random,41.0,0.1,0.34146341463414637,14.0,0.0,4.428571428571429,6.197683961988682,1.0769230769230769,0.07142857142857142,14.0,1.0,13.0
gossip,random,42.0,0.1,0.5476190476190477,33.0,7.0,3.608695652173913,4.842010055161979,1.5,0.12121212121212122,23.0,4.0,22.0
gossip,random,100.0,0.1,0.36,48.0,8.0,5.027777777777778,6.623025091091685,1.3714285714285714,0.10416666666666667,36.0,5.0,35.0
gossip,random,98.0,0.1,0.5408163265306123,86.0,27.0,4.7924528301886795,7.3487488769467015,1.6538461538461537,0.08139534883720931,53.0,7.0,52.0
gossip,random,500.0,0.1,0.18,110.0,6.0,5.5777777777777775,8.276549839581703,1.2359550561797752,0.13636363636363635,90.0,15.0,89.0
gossip,random,500.0,0.1,0.218,144.0,17.0,5.522935779816514,8.409512947023146,1.3333333333333333,0.13194444444444445,109.0,19.0,108.0
